;Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
671;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JD ESC MONTE SINAI;33073783;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA IBATE, 47 PILARES. 20760-610 Rio de Janeiro - RJ.;(21) 25950193;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;;-22.881417;-43.2905803
672;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JD ESC RECANTO FELIZ;33073821;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;GENERAL CLARINDO, 582 ENGENHO DE DENTRO. 20755-320 Rio de Janeiro - RJ.;(21) 35473415;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-22.892249300000003;-43.3005273
673;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JD ESC TEMPO FELIZ;33073830;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA LICINIO CARDOSO, 145 SAO FRANCISCO XAVIER. 20960-015 Rio de Janeiro - RJ.;(21) 22814545;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-22.898452499999998;-43.2439834
674;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO SUL AMERICANO;33073902;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;ESTRADA DO TINDIBA, 921 PECHINCHA. 22740-360 Rio de Janeiro - RJ.;(21) 33574321;Privada;Filantrópica;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;;-22.9287239;-43.3551164
675;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SEFA SOC EDUC FERNANDO ALVES;33073910;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA OLIVEIRA, 37 MEIER. 20720-110 Rio de Janeiro - RJ.;(21) 25955888;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;;-22.90311759;-43.28098891
676;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0625812 EDI AMARELINHO;33073953;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA BRASIL, 18476 COELHO NETO. 21530-000 Rio de Janeiro - RJ.;(21) 33726780;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-22.82611;-43.33945
677;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0514804 EDI VICENTE DE CARVALHO;33073961;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;SOLDADO SERVINO MENGAROA, SN VILA KOSMOS. 21210-840 Rio de Janeiro - RJ.;(21) 33522591;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-22.8491436;-43.304343700000004
678;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0514501 CIEP DOM OSCAR ROMERO;33073970;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;ESTR DO COLEGIO, SN IRAJA. 21235-280 Rio de Janeiro - RJ.;(21) 33735394;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado;-22.8348895;-43.3310105
679;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;0431502 CIEP GRACILIANO RAMOS;33073988;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Pública;R JORGE LACERDA, S/N JARDIM AMERICA. 21240-060 Rio de Janeiro - RJ.;(21) 33725409;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Educação de Jovens Adultos;Atendimento Educacional Especializado;-22.8131688;-43.322456200000005
680;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CURSO PREPARATORIO ATLAS;33074003;RJ;Rio de Janeiro;Urbana;A escola não está em área de localização diferenciada;Privada;RUA CAOBI, 161 IRAJA. 21361-470 Rio de Janeiro - RJ.;(21) 33513377;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;-22.84835;-43.32648
