,Unnamed: 0,Unnamed: 0.1,Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude,Modalidade
3610,3704,3704,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JARDIM ESCOLA CANAA,33178097,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA ARTUR IMBASSAI, 172 CASA. PENHA. 21070-500 Rio de Janeiro - RJ.",(21) 38641150,Privada,Comunitária,Sim,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-22.845197600000002,-43.281057000000004,2
3611,3705,3705,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO DE EDUCACAO BOMFIM,33178100,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DALVA DE OLIVEIRA, 35 PENHA CIRCULAR. 21011-804 Rio de Janeiro - RJ.",(21) 31480402,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.81923,-43.2720624,6
3612,3706,3706,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JARDIM ESCOLA VARANDA E QUINTAL,33178208,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA JOAQUIM JOSE DA SILVA, 80 PEDRA DE GUARATIBA. 23026-310 Rio de Janeiro - RJ.",(21) 31573584,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.998170000000002,-43.6358,6
3613,3707,3707,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CRECHE RAIMUNDA NONATA DA SILVA,33178216,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA CELIA RIBEIRO DA SILVA MENDES, 92 A. RECREIO DOS BANDEIRANTES. 22790-711 Rio de Janeiro - RJ.",(21) 24983110,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.0113831,-43.4775844,2
3614,3708,3708,ESCOLA PARALISADA,IGA - INSTITUTO GASTRONOMICO,33178259,RJ,Rio de Janeiro,Urbana,Não Informado,Privada,"RUA BARAO DE MESQUITA, 54 TIJUCA. 20540-006 Rio de Janeiro - RJ.",,Privada,Não Informado,Não,,,,,-22.924047,-43.23641660000001,3
3615,3709,3709,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,TATI BI TATI CRECHE,33178267,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA ODORICO MENDES, 100 CACHAMBI. 20771-320 Rio de Janeiro - RJ.",(21) 30405267,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.888525,-43.28145870000001,6
3616,3710,3710,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CAPBIO GRUPO EDUCACIONAL,33178305,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA DE SANTA CRUZ, 1678 SALA 204 A - B. REALENGO. 21715-321 Rio de Janeiro - RJ.",(21) 35636707,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,,,-22.8780731,-43.4390913,42
3617,3711,3711,ESCOLA PARALISADA,CENTRO EDUCACIONAL SILVA MEIRELLES,33178348,RJ,Rio de Janeiro,Urbana,Não Informado,Privada,"RUA CARLOS BRAVO, 25 AGUA SANTA. 20740-430 Rio de Janeiro - RJ.",,Privada,Não Informado,Não,,,,,-22.9021546,-43.31245670000001,6
3618,3712,3712,ESCOLA PARALISADA,CRECHE ESCOLA RISQUE RABISQUE,33178356,RJ,Rio de Janeiro,Urbana,Não Informado,Privada,"RUA JEQUIRICA, 472 PENHA. 21020-350 Rio de Janeiro - RJ.",(21) 25642422,Privada,Não Informado,Não,,,,,-22.8408655,-43.2749139,30
3619,3713,3713,ESCOLA PARALISADA,CENTRO EDUCACIONAL BARBOSA FIGUEIREDO,33178364,RJ,Rio de Janeiro,Urbana,Não Informado,Privada,"RUA PROFESSOR VALADARES, 93 GRAJAU. 20561-020 Rio de Janeiro - RJ.",(21) 25781544,Privada,Não Informado,Não,,,,,-22.9195129,-43.26175720000001,2
