,Unnamed: 0,Unnamed: 0.1,Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude,Modalidade
358,358,358,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL NS DE LOURDES,33068534,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA OITO DE DEZEMBRO, 328 MARACANA. 20550-200 Rio de Janeiro - RJ.",(21) 25696039,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.91002000000001,-43.2409,6
359,359,359,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,GRUPO DE EDUCACAO INTEGRADA,33068542,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA MAXWELL, 194 VILA ISABEL. 20541-100 Rio de Janeiro - RJ.",(21) 32711916,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.91947,-43.2424,6
360,360,360,ESCOLA PARALISADA,JD ESC AMIGOS DE INFANCIA,33068577,RJ,Rio de Janeiro,Urbana,Não Informado,Privada,"RUA SENADOR NABUCO, SN VILA ISABEL. 20551-230 Rio de Janeiro - RJ.",,Privada,Não Informado,Não,,,,,-22.9138035,-43.2555614,5
361,361,361,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JARDIM ESCOLA CISNE BRANCO,33068593,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA BARAO DE MESQUITA, 626 ANDARAI. 20540-196 Rio de Janeiro - RJ.",(21) 25724809,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.924615300000006,-43.2431529,6
362,362,362,ESCOLA PARALISADA,JD ESC RAIOS DE SOL,33068631,RJ,Rio de Janeiro,Urbana,Não Informado,Privada,"RUA CONSELHEIRO AUTRAN, SN VILA ISABEL. 20551-060 Rio de Janeiro - RJ.",,Privada,Não Informado,Não,,,,,-22.9140435,-43.2430874,5
363,363,363,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JD ESC ROSA ALVES MOREIRA,33068640,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA GONZAGA BASTOS, 234/236 VILA ISABEL. 20541-000 Rio de Janeiro - RJ.",(21) 22885518,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.92184,-43.2382,6
364,364,364,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MEIMEI - ESCOLA MONTESSORIANA LTDA,33068674,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA DOS ARTISTAS, 129 VILA ISABEL. 20541-035 Rio de Janeiro - RJ.",(21) 25707296,Privada,Particular,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",,-22.9182,-43.23778,30
365,365,365,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ARTE JD SININHO,33068704,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA BATURITE, 13 BONSUCESSO. 21040-310 Rio de Janeiro - RJ.",(21) 25605224,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.863310000000002,-43.25273,6
366,366,366,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,C C ELIANA SATURNINO BRAGA,33068712,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA VISTA ALEGRE, 17 RAMOS. 21060-415 Rio de Janeiro - RJ.",(21) 38687997,Privada,Comunitária,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.85773,-43.266659999999995,2
367,367,367,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0430503 CIEP LEONEL DE MOURA BRIZOLA,33068720,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"AV BRASIL, 8666 RAMOS. 21030-000 Rio de Janeiro - RJ.",(21) 31059934,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-22.83896,-43.25311170000001,21
368,368,368,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0430502 CIEP ELIS REGINA,33068739,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PRINCIPAL, BONSUCESSO. 21044-170 Rio de Janeiro - RJ.",(21) 39775726,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.857820699999998,-43.2405355,6
369,369,369,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0430206 CIEP HELIO SMIDT,33068747,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA TANCREDO NEVES, S/Nº MARE. 21044-725 Rio de Janeiro - RJ.",(21) 31045714,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-22.852587,-43.2403324,3
370,370,370,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410202 CIEP YURI GAGARIN,33068755,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"AV DOS CAMPEOES, RAMOS. 21040-016 Rio de Janeiro - RJ.",(21) 39778196,Municipal,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-22.855821399999996,-43.2544608,42
371,371,371,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410502 CIEP MAESTRO FRANCISCO MIGNONE,33068763,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ITAPE, S/Nº OLARIA. 21071-440 Rio de Janeiro - RJ.",(21) 32095536,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-22.8531742,-43.2775143,3
372,372,372,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0430201 CIEP MINISTRO GUSTAVO CAPANEMA,33068771,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"VIA A1, SNº SETOR PINHEIROS. MAR. 21046-035 Rio de Janeiro - RJ.",(21) 31049650,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-22.8690527,-43.2378539,21
373,373,373,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0430204 CIEP OPERARIO VICENTE MARIANO,33068780,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PRAIA DE INHAUMA, S/N MARE-BONSUCESSO. 21042-130 Rio de Janeiro - RJ.",(21) 39775609,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-22.8610634,-43.2384048,3
374,374,374,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410501 CIEP JUSCELINO KUBITSCHEK,33068798,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA LEOPOLDO BULHOES, S/N MANGUINHOS. 21041-210 Rio de Janeiro - RJ.",(21) 38855580,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-22.8811646,-43.24908129999999,21
375,375,375,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0430501 CIEP PRESIDENTE SAMORA MACHEL,33068801,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PRINCIPAL, SN NOVA HOLANDA. BONSUCESSO. 21044-170 Rio de Janeiro - RJ.",(21) 38680268,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-22.8578296,-43.2415767,3
376,376,376,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CE BAHIA,33068844,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA BRASIL, 5430 BONSUCESSO. 21040-361 Rio de Janeiro - RJ.",(21) 23347916,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,,-22.8642467,-43.24801220000001,5
377,377,377,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CE PROFESSOR CLOVIS MONTEIRO,33068852,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA DOS DEMOCRATICOS, 271 HIGIENOPOLIS. 21050-000 Rio de Janeiro - RJ.",(21) 23347538,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",,-22.8788032,-43.2559825,35
378,378,378,ESCOLA PARALISADA,CE TACIEL CYLLENO,33068860,RJ,Rio de Janeiro,Urbana,Não Informado,Pública,"RUA DOUTOR MIGUEL VIEIRA FERREIRA, RAMOS. 21060-090 Rio de Janeiro - RJ.",,Estadual,Não Informado,Não,,,,,-22.8555918,-43.26208070000001,35
379,379,379,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COL HERMANN,33068895,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA URANOS, 1483 OLARIA. 21060-070 Rio de Janeiro - RJ.",(21) 25908895,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-22.84671,-43.26759000000001,15
380,380,380,ESCOLA PARALISADA,COL LEOPOLDINENSE,33068917,RJ,Rio de Janeiro,Urbana,Não Informado,Privada,"RUA CARDOSO DE MORAIS, 528 BONSUCESSO. 21032-000 Rio de Janeiro - RJ.",,Privada,Não Informado,Não,,,,,-22.85578,-43.25887,2
381,381,381,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO CELC,33068925,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA PARIS, 84 PARTE. BONSUCESSO. 21041-020 Rio de Janeiro - RJ.",(21) 35865814,Privada,Particular,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-22.8671004,-43.25433889999999,105
382,382,382,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CE RUY BARBOSA,33069026,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA AGUIAR MOREIRA, 652 BONSUCESSO. 21041-070 Rio de Janeiro - RJ.",(21) 23347543,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",,-22.868018,-43.2535395,35
383,383,383,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CE TENENTE GENERAL NAPION,33069034,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA ALMIRANTE FRONTIN, 50 RAMOS. 21030-040 Rio de Janeiro - RJ.",(21) 23347572,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Médio,,-22.8468326,-43.246745000000004,5
384,384,384,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC LINEAR,33069077,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA SAINT HILAIRE, 156 BONSUCESSO. 21050-810 Rio de Janeiro - RJ.",(21) 25906241,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.869320000000002,-43.2555,6
385,385,385,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410002 ESCOLA MUNICIPAL ALBINO SOUZA CRUZ,33069093,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"AV DOS DEMOCRATICOS, 268 MANGUINHOS. 21050-060 Rio de Janeiro - RJ.",(21) 22188038,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.8809556,-43.2533338,6
386,386,386,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0312002 ESCOLA MUNICIPAL ALCIDE DE GASPERI,33069107,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MIRALUZ, 181 HIGIENOPOLIS. 21061-040 Rio de Janeiro - RJ.",(21) 38874506,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-22.8695200569928,-43.264868007972794,21
387,387,387,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410025 ESCOLA MUNICIPAL ANIBAL FREIRE,33069115,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"AV PROF PLINIO BASTOS, 631 OLARIA. 21021-350 Rio de Janeiro - RJ.",(21) 38853578,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-22.842327899999997,-43.2682291,3
388,388,388,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0430813 EDI ARMANDO DE SALLES OLIVEIRA,33069123,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA GERSON FERREIRA, 52 RAMOS. 21030-152 Rio de Janeiro - RJ.",(21) 31059338,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-22.8415253,-43.2496003,2
389,389,389,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0430003 ESCOLA MUNICIPAL BAHIA,33069131,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA GUILHERME MAXWELL, 243 BONSUCESSO. 21040-211 Rio de Janeiro - RJ.",(21) 31046680,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-22.86457810000001,-43.247284,3
390,390,390,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410018 ESCOLA MUNICIPAL BERLIM,33069140,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"PCA RAMOS FIGUEIRA, 20 OLARIA. 21031-440 Rio de Janeiro - RJ.",(21) 38689821,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-22.8477484,-43.2614665,21
391,391,391,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410021 ESCOLA MUNICIPAL BRASIL,33069158,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ANDRE AZEVEDO, SEM NUMERO OLARIA. 21021-480 Rio de Janeiro - RJ.",(21) 38853830,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-22.8433087,-43.2607685,21
392,392,392,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410013 ESCOLA MUNICIPAL CARLOS CHAGAS,33069166,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ENG. ROMERO ZANDER, 420 RAMOS. 21040-080 Rio de Janeiro - RJ.",(21) 38852344,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.857182,-43.255658000000004,6
393,393,393,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410016 ESCOLA MUNICIPAL CHILE,33069174,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"PCA BELMONTE, 15 OLARIA. 21073-010 Rio de Janeiro - RJ.",(21) 38852181,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-22.8486496,-43.26883660000001,3
394,394,394,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410012 ESCOLA MUNICIPAL CLOTILDE GUIMARAES,33069182,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"AV POSTAL, 49 RAMOS. 21040-150 Rio de Janeiro - RJ.",(21) 25736566,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-22.853061399999998,-43.2480511,21
395,395,395,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410015 ESCOLA MUNICIPAL CLOVIS BEVILAQUA,33069190,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ANTONIO REGO, 383 OLARIA. 21073-311 Rio de Janeiro - RJ.",(21) 25735709,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-22.8491735,-43.2652328,21
396,396,396,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410812 EDI CORONEL ASSUNCAO,33069204,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PARANAPANEMA, 1001 OLARIA. 21073-185 Rio de Janeiro - RJ.",(21) 38852946,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-22.8493187,-43.2728665,2
397,397,397,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0312005 ESCOLA MUNICIPAL D JOAO VI,33069212,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DARKE DE MATOS, 166 HIGIENOPOLIS. 21051-470 Rio de Janeiro - RJ.",(21) 38874563,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-22.8728469,-43.263205,6
398,398,398,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410009 ESCOLA MUNICIPAL DILERMANDO CRUZ,33069220,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA TEIXEIRA DE CASTRO, 407 BONSUCESSO. 21040-113 Rio de Janeiro - RJ.",(21) 25623943,Municipal,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-22.853824499999998,-43.252528399999996,21
399,399,399,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410011 ESCOLA MUNICIPAL EDMUNDO LINS,33069239,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA NOSSA SENHORA DAS GRACAS, 699 FUNDOS. RAMOS. 21031-611 Rio de Janeiro - RJ.",(21) 38852342,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-22.8499828,-43.2563515,3
400,400,400,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410001 ESCOLA MUNICIPAL EMA NEGRAO DE LIMA,33069247,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"ESTRADA DE MANGUINHOS, 4 MANGUINHOS. 21050-007 Rio de Janeiro - RJ.",(21) 25623948,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-22.8799466,-43.2531715,3
401,401,401,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0312004 ESCOLA MUNICIPAL ESTADO DA GUANABARA,33069255,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA LOURENCO RIBEIRO, 31 HIGIENOPOLIS. 21050-510 Rio de Janeiro - RJ.",(21) 31049553,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-22.878007699999998,-43.2564961,3
402,402,402,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0430004 ESCOLA MUNICIPAL IV CENTENARIO,33069263,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA NOVA JERUSALEM, 495 BONSUCESSO. 21042-235 Rio de Janeiro - RJ.",(21) 38680010,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-22.861293300000003,-43.2432483,3
403,403,403,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410005 ESCOLA MUNICIPAL JOAO BARBALHO,33069271,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DR MIGUEL VIEIRA FERREIRA, 392 RAMOS. 21060-090 Rio de Janeiro - RJ.",(21) 25623955,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-22.8565014,-43.261848799999996,3
404,404,404,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410020 ESCOLA MUNICIPAL JORACY CAMARGO,33069280,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"ESTRADA JOSE RUCAS, 1465 PENHA. 21070-370 Rio de Janeiro - RJ.",,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-22.8484229,-43.280662899999996,3
405,405,405,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410811 ESCOLA MUNICIPAL LAIS NETTO DOS REIS,33069298,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"PRACA BELMONTE, 7 OLARIA. 21073-010 Rio de Janeiro - RJ.",(21) 38852866,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.848356699999997,-43.268031799999996,2
406,406,406,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410023 ESCOLA MUNICIPAL LUIZ CESAR SAYAO GARCEZ,33069301,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"R PARANAPANEMA, 1055 OLARIA. 21073-185 Rio de Janeiro - RJ.",(21) 38853370,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-22.8532008,-43.277412299999995,21
407,407,407,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0312006 ESCOLA MUNICIPAL MINISTRO OROSIMBO NONATO,33069310,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DARKE DE MATOS, 152 HIGIENOPOLIS. 21051-470 Rio de Janeiro - RJ.",(21) 38889571,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-22.872570899999996,-43.262727399999996,3
408,408,408,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410010 ESCOLA MUNICIPAL NERVAL DE GOUVEIA,33069328,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"ESTRADA DO ENGENHO DA PEDRA, 528 RAMOS. 21031-030 Rio de Janeiro - RJ.",(21) 38852057,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-22.84504200000001,-43.2540946,3
409,409,409,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410022 ESCOLA MUNICIPAL ODILON DE ANDRADE,33069336,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ITAPE, SN OLARIA. 21071-440 Rio de Janeiro - RJ.",(21) 32095514,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-22.85254500000001,-43.2776095,3
410,410,410,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0312003 ESCOLA MUNICIPAL ORDEM E PROGRESSO,33069344,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ACAPUVA, 132 HIGIENOPOLIS. 21050-730 Rio de Janeiro - RJ.",(21) 38859193,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-22.875982671976104,-43.2629370689392,6
411,411,411,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0312001 ESCOLA MUNICIPAL OSWALDO CRUZ,33069352,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"AV DOS DEMOCRATICOS, 683 HIGIENOPOLIS. 21050-000 Rio de Janeiro - RJ.",(21) 31048256,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atividade Complementar,-22.8778691,-43.2562973,6
412,412,412,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410007 ESCOLA MUNICIPAL PADRE MANUEL DA NOBREGA,33069360,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PROFESSOR LACE, 437 FUNDOS. RAMOS. 21060-120 Rio de Janeiro - RJ.",(21) 25623935,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-22.8570153,-43.2641229,21
413,413,413,ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,0410004 ESCOLA MUNICIPAL PEDRO LESSA,33069379,RJ,Rio de Janeiro,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ADAIL, 49 BONSUCESSO. 21040-000 Rio de Janeiro - RJ.",(21) 25623951,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",Atendimento Educacional Especializado,-22.860433899999997,-43.254428600000004,6
