,Semana,Municipio,Casos Novos,Casos Acumulados,Início da semana
180,2,Valença,0.0,0.0,05/03/2020
181,2,Varre-Sai,0.0,0.0,05/03/2020
182,2,Vassouras,0.0,0.0,05/03/2020
183,2,Volta Redonda,0.3662842658930743,2.1977055953584457,05/03/2020
184,3,Angra dos Reis,0.4907132517113625,0.4907132517113625,12/03/2020
185,3,Aperibé,0.0,0.0,12/03/2020
186,3,Araruama,0.0,0.0,12/03/2020
187,3,Areal,0.0,0.0,12/03/2020
188,3,Armação dos Búzios,0.0,0.0,12/03/2020
189,3,Arraial do Cabo,0.0,0.0,12/03/2020
190,3,Barra do Piraí,0.0,0.0,12/03/2020
191,3,Barra Mansa,0.0,0.5422640609070993,12/03/2020
192,3,Belford Roxo,0.0,0.3914614430051712,12/03/2020
193,3,Bom Jardim,0.0,0.0,12/03/2020
194,3,Bom Jesus do Itabapoana,0.0,0.0,12/03/2020
195,3,Cabo Frio,0.0,0.0,12/03/2020
196,3,Cachoeiras de Macacu,0.0,0.0,12/03/2020
197,3,Cambuci,0.0,0.0,12/03/2020
198,3,Carapebus,0.0,0.0,12/03/2020
199,3,Comendador Levy Gasparian,0.0,0.0,12/03/2020
200,3,Campos dos Goytacazes,0.0,0.0,12/03/2020
201,3,Cantagalo,0.0,0.0,12/03/2020
202,3,Cardoso Moreira,0.0,0.0,12/03/2020
203,3,Carmo,0.0,0.0,12/03/2020
204,3,Casimiro de Abreu,0.0,2.263262719536484,12/03/2020
205,3,Conceição de Macabu,0.0,0.0,12/03/2020
206,3,Cordeiro,0.0,0.0,12/03/2020
207,3,Duas Barras,0.0,0.0,12/03/2020
208,3,Duque de Caxias,0.0,0.9786906424125377,12/03/2020
209,3,Engenheiro Paulo de Frontin,0.0,0.0,12/03/2020
210,3,Guapimirim,1.6524282433035344,1.6524282433035344,12/03/2020
211,3,Iguaba Grande,3.532320734722713,3.532320734722713,12/03/2020
212,3,Itaboraí,0.0,0.0,12/03/2020
213,3,Itaguaí,0.0,0.0,12/03/2020
214,3,Italva,0.0,0.0,12/03/2020
215,3,Itaocara,0.0,0.0,12/03/2020
216,3,Itaperuna,0.0,0.0,12/03/2020
217,3,Itatiaia,0.0,0.0,12/03/2020
218,3,Japeri,0.0,0.0,12/03/2020
219,3,Laje do Muriaé,0.0,0.0,12/03/2020
220,3,Macaé,0.0,3.1168183518264554,12/03/2020
221,3,Macuco,0.0,0.0,12/03/2020
222,3,Magé,0.0,0.8160900310522257,12/03/2020
223,3,Mangaratiba,0.0,2.248808131690204,12/03/2020
224,3,Maricá,0.0,0.6203204575483695,12/03/2020
225,3,Mendes,0.0,0.0,12/03/2020
226,3,Mesquita,0.0,0.5678494971692702,12/03/2020
227,3,Miguel Pereira,3.9157334168689797,3.9157334168689797,12/03/2020
228,3,Miracema,0.0,0.0,12/03/2020
229,3,Natividade,0.0,0.0,12/03/2020
230,3,Nilópolis,0.0,0.0,12/03/2020
231,3,Niterói,2.7259416181189446,8.956665316676531,12/03/2020
232,3,Nova Friburgo,0.0,1.0491473055274325,12/03/2020
233,3,Nova Iguaçu,0.36535107802924754,0.4871347707056634,12/03/2020
234,3,Paracambi,0.0,0.0,12/03/2020
235,3,Paraíba do Sul,0.0,0.0,12/03/2020
236,3,Paraty,0.0,0.0,12/03/2020
237,3,Paty do Alferes,0.0,0.0,12/03/2020
238,3,Petrópolis,0.32659353148851533,7.838244755724368,12/03/2020
239,3,Pinheiral,0.0,0.0,12/03/2020
240,3,Piraí,0.0,0.0,12/03/2020
241,3,Porciúncula,0.0,0.0,12/03/2020
242,3,Porto Real,0.0,0.0,12/03/2020
243,3,Quatis,0.0,0.0,12/03/2020
244,3,Queimados,0.0,1.995755692893114,12/03/2020
245,3,Quissamã,0.0,4.048582995951417,12/03/2020
246,3,Resende,0.0,1.522753747877662,12/03/2020
247,3,Rio Bonito,1.6611019750502483,3.3222039501004965,12/03/2020
248,3,Rio Claro,0.0,0.0,12/03/2020
249,3,Rio das Flores,0.0,0.0,12/03/2020
250,3,Rio das Ostras,0.0,1.3273690218617678,12/03/2020
251,3,Rio de Janeiro,1.399037908420467,5.5217347236595025,12/03/2020
252,3,Santa Maria Madalena,0.0,0.0,12/03/2020
253,3,Santo Antônio de Pádua,0.0,0.0,12/03/2020
254,3,São Francisco de Itabapoana,0.0,0.0,12/03/2020
255,3,São Fidélis,0.0,0.0,12/03/2020
256,3,São Gonçalo,0.09217957687730621,0.5530774612638373,12/03/2020
257,3,São João da Barra,0.0,0.0,12/03/2020
258,3,São João de Meriti,0.0,0.4233646482051456,12/03/2020
259,3,São José de Ubá,0.0,0.0,12/03/2020
260,3,São José do Vale do Rio Preto,0.0,0.0,12/03/2020
261,3,São Pedro da Aldeia,0.0,0.0,12/03/2020
262,3,São Sebastião do Alto,0.0,0.0,12/03/2020
263,3,Sapucaia,0.0,5.486065393899495,12/03/2020
264,3,Saquarema,0.0,0.0,12/03/2020
265,3,Seropédica,0.0,1.214889688016328,12/03/2020
266,3,Silva Jardim,0.0,0.0,12/03/2020
267,3,Sumidouro,0.0,0.0,12/03/2020
268,3,Tanguá,0.0,0.0,12/03/2020
269,3,Teresópolis,1.095326242921454,1.095326242921454,12/03/2020
270,3,Trajano de Moraes,0.0,0.0,12/03/2020
271,3,Três Rios,0.0,1.2224341108014278,12/03/2020
272,3,Valença,0.0,0.0,12/03/2020
273,3,Varre-Sai,0.0,0.0,12/03/2020
274,3,Vassouras,0.0,0.0,12/03/2020
